シナリオ,シナリオ詳細,売上,粗利,LTV,売上変化率,粗利変化率,LTV変化率
ベースケース,現状維持,136242000.0,55432075.0,130673250.0,0.0,0.0,0.0
シナリオA,S1特化（超富裕層集中投資）,155898000.0,64417675.0,153137250.0,14.427269124058661,16.210109399657146,17.19097060798595
シナリオB,S2・S3ボリューム狙い,159570000.0,65429500.0,148833450.0,17.122473246135552,18.03545149626818,13.897412056407873
シナリオC,価格帯シフト（高単価強化）,153748125.0,64553687.5,149718375.0,12.849286563614745,16.455477266546488,14.574616457461644
